"COMUNA","BARRIO","ESCENARIO","DIRECCION","Enlace Google Maps"
"3","La Rebeca","PARQUE INFANTILES","Carrera 1 F Calle 23A","s/d"
"4","Estadio Urdaneta","Cancha Microfútbol (Externa)","Cra 8 Calle 2","https://goo.gl/maps/t5YoAYgdewxVobuw8"
"4","Estadio Urdaneta","Cancha Baloncesto (Externa)","Cra 8 Calle 2","https://goo.gl/maps/9BZkGjDYYj4u1sVR7"
"4","Los Mártirez","Polideportivo","Cra 2 Calle 12","https://goo.gl/maps/hN9PtfRUdn9xmdLa7"
"4","Los Artesanos","Polideportivo","Av. Circunvalar calle 13","https://goo.gl/maps/A1s4uzhM92iF4EZs9"
"4","El Puerto","Polideportivo","Av. Circunvalar Cra 2","https://goo.gl/maps/wQtYaFeGewpqjESQ7"
"4","Altico","PARQUES BIOSALUDABLES","Carrera 14 Calle 5","s/d"
"4","Urdaneta Arbeláez","PARQUES BIOSALUDABLES","Carrera 8 Calle 2 y 3","s/d"
"4","Avenida la Toma","PARQUES BIOSALUDABLES","Calle 10","s/d"
"4","Los Mártires","PARQUES BIOSALUDABLES","Carrera 2 Calle 2- 13","s/d"
"4","El Estadio","PARQUE INFANTILES","Carrera 8 Calle 2","s/d"
"5","El Jardin","Cancha Fútbol de Arena","Calle 19 Cra 29","https://goo.gl/maps/wixgVDBx2RHnVZHcA"
"5","La Orquídea","Polideportivo","Cra 34 A Calle 18","https://goo.gl/maps/qeefZXrx8QDtfMTS7"
"5","Villa Café","Polideportivo","Cra 47 A Calle 17","https://goo.gl/maps/sAhAqQutdwWcPNhF7"
"5","Villa Café","Cancha Baloncesto","Cra 47 A Calle 17","https://goo.gl/maps/2exXqRLgp6aKMWB7A"
"5","Los Guaduales","Polideportivo","Calle 20 No. 40 - 18","https://goo.gl/maps/Qux5QZrUtsgbraRX8"
"5","7 de Agosto","Polideportivo","Calle 11 # 25","https://goo.gl/maps/FSFShNZCmJkitBKRA"
"5","El Vergel","Polideportivo","Calle 16 No. 40 – 85","https://goo.gl/maps/DSDHEqCakbBpbqY78"
"5","Las Catleyas","Polideportivo","Cra 34 Calle13","https://goo.gl/maps/HyFNijDY2kZ6SS5Y7"
"5","Villa Regina","PARQUES BIOSALUDABLES","Carrera 43 A Calle 14","s/d"
"5","El Tesoro","PARQUES BIOSALUDABLES","Calle 26 Carrera 36","s/d"
"5","La Rioja","PARQUES BIOSALUDABLES","Calle 21 Carrera 45 B","s/d"
"5","Las Catleyas","PARQUES BIOSALUDABLES","Calle 13 Carrera 33","s/d"
"5","Los Guaduales","PARQUES BIOSALUDABLES","Carrera 39 Calle 20 D","s/d"
